Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,7.39,49.51,3.96,3.8,55.08,3.4,5.41,49.84,3.35,6.77,49.62,3.72,7.98,49.23,4,8.99,49.1,4.26,9.52,49.26,4.48,8.25,50.07,4.61,3.04,57.16,4.82
Kiriko,7.47,49.94,4.19,6.06,52.17,3.4,7.74,49.83,3.67,7.72,49.7,4.03,7.51,49.83,4.35,7.36,50.01,4.57,7.36,49.81,4.69,6.54,51.1,4.87,5.76,69.9,6.64
Genji,5.62,52.95,2.33,6.27,64.1,3.1,4.76,50.92,2.11,5.22,52.07,2.24,5.91,52.57,2.31,6.21,52.62,2.37,5.97,52.87,2.48,4.94,52.8,2.62,2.18,46.31,2.43
Moira,2.62,48.33,4.39,3.7,51.28,3.66,3.93,48.46,3.91,3.1,47.91,4.3,2.39,48.11,4.76,1.77,48.02,5.2,1.19,46.82,5.29,0.55,49,5.65,0.13,21.75,3.57
Sojourn,2.6,45.57,2.31,2.58,51.45,2.38,2.92,44.87,2.1,2.6,44.02,2.18,2.43,45.19,2.34,2.5,45.87,2.47,2.73,47.33,2.64,3.28,50.44,2.93,2.29,50.8,3.15
Soldier: 76,3.47,49.65,2.49,5.08,56.42,2.76,4.24,48.65,2.31,3.72,48.48,2.4,3.33,48.91,2.49,2.88,50.07,2.63,2.39,50.94,2.8,1.83,52.1,3.02,0.7,67.43,4
Cassidy,6.18,47.98,2.35,4.64,58.72,2.63,4.76,49.09,2.11,5.54,48.04,2.23,6.44,47.17,2.32,7.35,46.68,2.44,7.84,47.07,2.56,8.52,48.65,2.75,6.22,62.19,3.41
Zenyatta,2.31,52.73,4.6,2.84,55.32,4,2.62,53.49,4.12,2.38,52.85,4.42,2.31,52.76,4.8,2.14,51.68,5.08,1.8,50.59,5.31,1.23,46.79,5.39,0.35,71.84,4.63
Reaper,2.94,54.59,2.44,3.61,62.59,3.14,3.31,53.89,2.38,3.21,53.85,2.39,2.92,53.85,2.39,2.57,54.53,2.43,2.11,54.84,2.47,1.96,56.54,2.63,3.96,58.21,3.02
Juno,1.8,50,3.68,3.03,51.53,3.1,2.65,49.42,3.31,1.99,49.7,3.65,1.49,49.98,4,1.29,50.46,4.24,1.24,50.68,4.24,1.19,52.59,3.87,1.37,70.15,4.71
Ashe,2.32,51.76,2.78,1.89,55.91,2.77,2.15,51.16,2.55,2.27,51.47,2.7,2.4,51.31,2.81,2.45,51.94,2.88,2.44,52.45,2.95,2.36,53.53,3.09,1.56,63.17,3.69
Ramattra,1.4,48.28,3.23,2.03,54.01,3.46,2.1,48.56,3.15,1.74,47.7,3.2,1.22,46.9,3.23,0.84,48.44,3.31,0.66,46.74,3.37,0.65,47.83,3.53,0.62,54.1,3.48
Mercy,2.76,50.57,3.92,3.59,49.82,2.55,2.56,48.39,2.93,2.6,50.61,3.64,2.73,50.84,4.22,2.85,51.23,4.79,3.03,50.97,5.22,3.14,54.69,6.01,1.48,79.14,8.09
Zarya,1.73,51.36,4.22,1.15,55.41,4.07,1.48,51.93,3.84,1.64,50.38,3.93,1.74,49.92,4.15,1.78,51.57,4.5,2.31,53.04,4.83,3.6,56.03,5.36,7.19,60.26,5.59
Bastion,1.51,47.36,2.53,2.54,52.77,2.7,2.41,47.28,2.4,1.83,46.47,2.48,1.26,45.93,2.57,0.91,47.37,2.71,0.63,49.74,2.92,0.44,52.24,3.03,0.08,100,4.44
Lúcio,1.24,52.97,3.1,2.33,54.8,2.64,1.74,52.73,2.83,1.31,52.86,3.08,1.03,53.05,3.26,0.92,52.12,3.46,0.9,52.16,3.59,0.8,52.89,3.87,0.27,51.45,3.92
Mauga,1.26,48.7,3.82,1.76,50.27,3.74,1.53,47.14,3.49,1.37,47.71,3.68,1.22,48.68,3.91,1,50.35,4.14,0.86,51.79,4.38,0.86,53.85,4.7,9.45,59.89,5.62
Hanzo,2.82,50.14,2.85,3.24,59.21,3.08,2.75,49.27,2.53,2.66,49.48,2.72,2.74,49.43,2.87,2.96,49.59,3,3.11,50.16,3.14,3.07,52.01,3.38,2.07,71.2,3.68
Pharah,1.39,50.83,2.49,1.83,54.25,2.75,1.69,50.14,2.4,1.46,50.11,2.41,1.31,50.81,2.47,1.22,51.27,2.54,1.12,50.67,2.7,1.01,52.2,2.92,1.8,68.73,3.55
Illari,1.14,52,3.1,1.7,56.38,2.76,1.47,50.9,2.73,1.22,51.83,3.02,1.01,52.14,3.25,0.93,51.87,3.44,0.87,50.82,3.52,0.85,51.62,3.64,1.16,49.89,4.44
Doomfist,3.9,51.92,3.09,1.79,58.42,3.35,2.26,53.01,2.96,3.41,52.33,3.01,4.47,51.62,3.04,4.99,51.14,3.09,5.16,51.36,3.28,5.32,52.8,3.61,5.79,59.33,4.22
Venture,1.64,54.18,2.28,0.89,58.12,2.62,1.49,55.72,2.32,1.74,54.01,2.26,1.75,53.21,2.23,1.69,54.08,2.27,1.57,54.22,2.3,1.38,55.02,2.49,0.4,82.25,3.3
Junkrat,1.32,50.96,2.32,1.93,54.81,2.37,1.83,50.07,2.14,1.47,50.38,2.26,1.25,51.04,2.4,1,51.45,2.48,0.68,51.31,2.52,0.44,46.47,2.37,0.05,0,0
Sigma,1.9,52.93,3.91,1.62,55.93,3.83,2.14,52.66,3.68,2.16,52.43,3.81,1.92,53.08,4.01,1.58,52.94,4.1,1.45,52.79,4.22,1.6,55.15,4.56,1.91,56.06,4.7
Brigitte,1.39,50.11,3.67,1.06,52.89,2.71,1.28,51.62,3.14,1.41,50.28,3.43,1.44,49.75,3.8,1.46,49.42,4.13,1.41,48.82,4.31,1.19,48.88,4.56,2.1,58.23,5.31
Widowmaker,1.46,47.55,2.33,2.34,56.19,2.96,1.47,45.36,2.14,1.33,46.24,2.22,1.33,46.82,2.27,1.42,47.35,2.3,1.67,47.11,2.42,2.42,48.92,2.74,2.85,49.66,3.03
Lifeweaver,2.15,47.42,3.83,1.92,49.88,2.92,2.41,48.5,3.38,2.5,47.86,3.74,2.22,47.26,4.06,1.84,45.81,4.23,1.41,45.22,4.36,0.86,44.65,4.44,0.4,71.42,3.42
Sombra,1.79,48.65,3.07,1.44,51.83,2.71,1.67,48.24,2.8,1.75,49.1,3.02,1.85,48.2,3.13,1.97,48.22,3.21,1.81,48.75,3.29,1.41,48.58,3.4,0.83,68.55,4.49
D.VA,1.42,48.77,5.22,2.69,52.57,5.2,1.86,46.87,4.62,1.45,47.54,5.02,1.22,49.14,5.46,1.09,49.82,5.85,1.12,49.81,6.12,1.43,51.67,6.77,1.54,60.72,8.8
Torbjörn,0.96,57.22,2.7,1.21,68.47,3.92,1.25,60.63,2.9,1.04,57.02,2.58,0.89,55.17,2.6,0.81,53.31,2.53,0.64,51.05,2.52,0.51,52.26,2.51,0.22,7.75,1.67
Tracer,2.27,51.01,2.22,1.74,55.71,2.3,1.46,50,2.05,1.7,50.67,2.14,2.27,50.96,2.2,2.99,50.47,2.24,3.77,51.45,2.35,5.14,52.23,2.6,4.77,62.55,3.42
Orisa,1.69,44.88,3.29,1.95,49.94,3.28,2.18,45.94,3.14,1.98,43.89,3.19,1.61,43.51,3.32,1.23,44.45,3.51,1.06,46.49,3.8,1.23,49.52,4.15,1.24,62.27,4.87
Hazard,1.38,49.36,3.35,0.88,54.09,3.39,1.15,49.92,3.17,1.4,48.46,3.19,1.45,49.08,3.32,1.43,49.34,3.48,1.51,49.85,3.69,2.02,51.99,4.06,1.91,43.95,3.75
